JX311792	NC;NC_OTU1;
AB649214	NC;NC-Alpha;NC-Alpha_OTU1;
NcavSCU2	NC;NC-Alpha;NC-Alpha_OTU2;
EU239961	NC;NC-Alpha;NC-Alpha_OTU3;
EU239987	NC;NC-Alpha;NC-Alpha_OTU3;
EU239988	NC;NC-Alpha;NC-Alpha_OTU3;
EU239978	NC;NC-Alpha;NC-Alpha_OTU3;
EU239981	NC;NC-Alpha;NC-Alpha_OTU3;
EU239979	NC;NC-Alpha;NC-Alpha_OTU3;
EU239969	NC;NC-Alpha;NC-Alpha_OTU3;
EU239986	NC;NC-Alpha;NC-Alpha_OTU3;
EU239965	NC;NC-Alpha;NC-Alpha_OTU3;
EU239980	NC;NC-Alpha;NC-Alpha_OTU3;
EU239968	NC;NC-Alpha;NC-Alpha_OTU3;
EU239963	NC;NC-Alpha;NC-Alpha_OTU3;
EU239964	NC;NC-Alpha;NC-Alpha_OTU3;
EU239966	NC;NC-Alpha;NC-Alpha_OTU3;
EU239983	NC;NC-Alpha;NC-Alpha_OTU3;
EU239967	NC;NC-Alpha;NC-Alpha_OTU3;
EU239971	NC;NC-Alpha;NC-Alpha_OTU3;
JN183522	NP;NP_OTU1;
GU988815	NP;NP_OTU1;
JX305918	NP;NP_OTU1;
GU988799	NP;NP_OTU1;
JF924156	NP;NP_OTU2;
JX311805	NP;NP_OTU3;
DQ148590	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU1;
DQ501002	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU1;
JX537499	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU1;
DQ500999	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU1;
DQ501001	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU1;
JF924104	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU10;
JX537501	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU10;
JF924207	NP;NP-Alpha;NP-Alpha-1;NP-Alpha-1_OTU10;
